,question,answer,img_id,type
39,hình có mấy chai,ba,600039,1
40,có bao nhiêu điện thoại,sáu,600040,1
41,có bao nhiêu con cừu trong hình,hai,600041,1
42,có bao nhiêu cái cây trong hình,năm,600042,1
43,hình có mấy cái ghế,tám,600043,1
44,hình có mấy quyển sách,ba,600044,1
45,hình có mấy con gà,ba,600045,1
46,hình có mấy người,một,600046,1
47,có bao nhiêu cái cây trong hình,ba,600047,1
48,hình có mấy con bò,một,600048,1
49,trong hình có bao nhiêu xe ô tô,hai,600049,1
50,số lượng con ngựa vằn là bao nhiêu,hai,600050,1
51,có bao nhiêu con cừu trong hình,năm,600051,1
52,số lượng cái ghế là bao nhiêu,sáu,600052,1
53,trong hình có bao nhiêu máy tính xách tay,bốn,600053,1
54,có bao nhiêu con chim,bốn,600054,1
55,hình có mấy cốc,một,600055,1
56,có bao nhiêu người,năm,600056,1
57,có bao nhiêu con bò trong hình,tám,600057,1
58,có bao nhiêu điện thoại,tám,600058,1
59,trong hình có bao nhiêu điện thoại,bảy,600059,1
60,trong hình có bao nhiêu cốc,bảy,600060,1
61,có bao nhiêu cái ghế,năm,600061,1
62,có bao nhiêu chai,bốn,600062,1
63,số lượng cốc là bao nhiêu,hai,600063,1
64,trong hình có bao nhiêu cái bàn,ba,600064,1
65,có bao nhiêu xe ô tô trong hình,năm,600065,1
66,trong hình có bao nhiêu cái bàn,tám,600066,1
67,có bao nhiêu cái cây,tám,600067,1
68,trong hình có bao nhiêu tòa nhà,ba,600068,1
69,hình có mấy máy tính xách tay,năm,600069,1
70,có bao nhiêu con gà trong hình,bốn,600070,1
71,số lượng con chim là bao nhiêu,ba,600071,1
72,số lượng cái bàn là bao nhiêu,một,600072,1
73,có bao nhiêu tòa nhà trong hình,bốn,600073,1
74,số lượng con chim là bao nhiêu,hai,600074,1
75,có bao nhiêu con voi,bốn,600075,1
76,hình có mấy máy tính xách tay,tám,600076,1
77,hình có mấy quyển sách,tám,600077,1
78,số lượng xe ô tô là bao nhiêu,bốn,600078,1
79,số lượng chai là bao nhiêu,bốn,600079,1
80,có bao nhiêu cốc trong hình,một,600080,1
81,hình có mấy cốc,tám,600081,1
82,hình có mấy điện thoại,bảy,600082,1
83,có bao nhiêu cái cây trong hình,hai,600083,1
84,hình có mấy tòa nhà,tám,600084,1
85,số lượng con chó là bao nhiêu,một,600085,1
86,trong hình có bao nhiêu cái bàn,sáu,600086,1
87,có bao nhiêu con voi,tám,600087,1
88,số lượng con chim là bao nhiêu,năm,600088,1
89,số lượng cốc là bao nhiêu,bảy,600089,1
90,số lượng cái bàn là bao nhiêu,sáu,600090,1
91,số lượng con mèo là bao nhiêu,sáu,600091,1
92,hình có mấy con ngựa,năm,600092,1
93,có bao nhiêu con ngựa trong hình,hai,600093,1
94,có bao nhiêu con chim,ba,600094,1
95,trong hình có bao nhiêu máy tính xách tay,sáu,600095,1
96,số lượng con mèo là bao nhiêu,một,600096,1
97,số lượng tòa nhà là bao nhiêu,sáu,600097,1
98,có bao nhiêu điện thoại,bốn,600098,1
99,có bao nhiêu cốc trong hình,sáu,600099,1
100,có bao nhiêu con chó trong hình,ba,600100,1
101,hình có mấy điện thoại,sáu,600101,1
102,trong hình có bao nhiêu cái cây,hai,600102,1
103,hình có mấy máy tính xách tay,bảy,600103,1
104,hình có mấy con cừu,một,600104,1
105,hình có mấy con chim,một,600105,1
106,hình có mấy con mèo,tám,600106,1
107,có bao nhiêu người trong hình,sáu,600107,1
108,hình có mấy chai,sáu,600108,1
109,trong hình có bao nhiêu cái cây,một,600109,1
110,trong hình có bao nhiêu người,một,600110,1
111,hình có mấy máy tính xách tay,hai,600111,1
112,số lượng điện thoại là bao nhiêu,một,600112,1
113,hình có mấy cái cây,năm,600113,1
114,hình có mấy con bò,năm,600114,1
115,có bao nhiêu con chó,hai,600115,1
116,trong hình có bao nhiêu xe ô tô,sáu,600116,1
117,có bao nhiêu con chim,hai,600117,1
118,trong hình có bao nhiêu cái ghế,hai,600118,1
119,có bao nhiêu điện thoại trong hình,sáu,600119,1
120,số lượng máy tính xách tay là bao nhiêu,bảy,600120,1
121,trong hình có bao nhiêu cái ghế,bảy,600121,1
122,có bao nhiêu chai trong hình,năm,600122,1
123,trong hình có bao nhiêu con chim,tám,600123,1
124,có bao nhiêu tòa nhà,ba,600124,1
125,trong hình có bao nhiêu chai,bảy,600125,1
126,có bao nhiêu người trong hình,một,600126,1
127,có bao nhiêu điện thoại trong hình,tám,600127,1
128,trong hình có bao nhiêu cốc,hai,600128,1
129,hình có mấy quyển sách,năm,600129,1
130,hình có mấy chai,bảy,600130,1
131,số lượng cái bàn là bao nhiêu,năm,600131,1
132,hình có mấy tòa nhà,bốn,600132,1
133,có bao nhiêu cái cây,năm,600133,1
134,trong hình có bao nhiêu chai,sáu,600134,1
135,có bao nhiêu con chim trong hình,tám,600135,1
136,trong hình có bao nhiêu con chim,một,600136,1
137,có bao nhiêu điện thoại trong hình,hai,600137,1
138,hình có mấy tòa nhà,sáu,600138,1
139,số lượng cái cây là bao nhiêu,một,600139,1
140,có bao nhiêu người trong hình,tám,600140,1
141,có bao nhiêu con bò trong hình,bảy,600141,1
142,trong hình có bao nhiêu xe ô tô,ba,600142,1
143,hình có mấy con voi,sáu,600143,1
144,trong hình có bao nhiêu cái cây,bảy,600144,1
145,hình có mấy con ngựa vằn,một,600145,1
146,số lượng con hươu cao cổ là bao nhiêu,tám,600146,1
147,có bao nhiêu tòa nhà trong hình,năm,600147,1
148,có bao nhiêu cái bàn,tám,600148,1
149,có bao nhiêu con voi trong hình,sáu,600149,1
150,trong hình có bao nhiêu xe ô tô,ba,600150,1
151,có bao nhiêu cái ghế trong hình,tám,600151,1
152,trong hình có bao nhiêu con chim,bốn,600152,1
153,số lượng quyển sách là bao nhiêu,bốn,600153,1
154,số lượng người là bao nhiêu,sáu,600154,1
155,trong hình có bao nhiêu con ngựa,ba,600155,1
156,trong hình có bao nhiêu cái cây,hai,600156,1
157,trong hình có bao nhiêu con gà,bảy,600157,1
158,số lượng xe ô tô là bao nhiêu,sáu,600158,1
159,có bao nhiêu cái ghế trong hình,bảy,600159,1
160,trong hình có bao nhiêu con chim,tám,600160,1
161,có bao nhiêu điện thoại,tám,600161,1
162,có bao nhiêu cái bàn,năm,600162,1
163,có bao nhiêu con hươu cao cổ,ba,600163,1
164,có bao nhiêu người,một,600164,1
165,trong hình có bao nhiêu người,bốn,600165,1
166,số lượng xe ô tô là bao nhiêu,một,600166,1
167,có bao nhiêu con chim trong hình,hai,600167,1
168,có bao nhiêu con chó,bốn,600168,1
169,trong hình có bao nhiêu cái cây,bốn,600169,1
170,có bao nhiêu người trong hình,bảy,600170,1
171,hình có mấy cái bàn,ba,600171,1
172,có bao nhiêu chai trong hình,bốn,600172,1
173,có bao nhiêu tòa nhà,tám,600173,1
174,có bao nhiêu con gà trong hình,một,600174,1
175,trong hình có bao nhiêu quyển sách,tám,600175,1
176,có bao nhiêu chai,bảy,600176,1
177,có bao nhiêu con mèo,bảy,600177,1
178,có bao nhiêu con bò,bốn,600178,1
179,trong hình có bao nhiêu con cừu,sáu,600179,1
180,hình có mấy con voi,một,600180,1
181,có bao nhiêu con hươu cao cổ trong hình,tám,600181,1
182,trong hình có bao nhiêu người,sáu,600182,1
183,trong hình có bao nhiêu con chó,năm,600183,1
184,số lượng điện thoại là bao nhiêu,sáu,600184,1
185,có bao nhiêu người trong hình,ba,600185,1
186,hình có mấy con ngựa vằn,hai,600186,1
187,có bao nhiêu cái ghế trong hình,sáu,600187,1
188,có bao nhiêu quyển sách trong hình,bảy,600188,1
189,số lượng cái ghế là bao nhiêu,một,600189,1
190,có bao nhiêu người,bảy,600190,1
191,có bao nhiêu điện thoại,ba,600191,1
192,có bao nhiêu con voi trong hình,năm,600192,1
193,trong hình có bao nhiêu con ngựa vằn,năm,600193,1
194,số lượng quyển sách là bao nhiêu,bốn,600194,1
195,có bao nhiêu cốc trong hình,sáu,600195,1
196,hình có mấy máy tính xách tay,bảy,600196,1
197,trong hình có bao nhiêu xe ô tô,hai,600197,1
198,có bao nhiêu máy tính xách tay,năm,600198,1
199,số lượng cốc là bao nhiêu,sáu,600199,1
200,trong hình có bao nhiêu cái ghế,tám,600200,1
201,có bao nhiêu con voi trong hình,năm,600201,1
202,có bao nhiêu xe ô tô,một,600202,1
203,số lượng cốc là bao nhiêu,ba,600203,1
204,hình có mấy cái cây,hai,600204,1
205,có bao nhiêu cái cây trong hình,năm,600205,1
206,hình có mấy người,ba,600206,1
207,hình có mấy con cừu,ba,600207,1
208,có bao nhiêu cái ghế,hai,600208,1
209,số lượng quyển sách là bao nhiêu,tám,600209,1
210,có bao nhiêu cái cây,bốn,600210,1
211,hình có mấy cốc,ba,600211,1
212,có bao nhiêu cái cây trong hình,tám,600212,1
213,có bao nhiêu cái bàn trong hình,bốn,600213,1
214,số lượng con bò là bao nhiêu,bốn,600214,1
215,số lượng cốc là bao nhiêu,tám,600215,1
216,có bao nhiêu con chim trong hình,bảy,600216,1
217,số lượng tòa nhà là bao nhiêu,ba,600217,1
218,có bao nhiêu con gà,tám,600218,1
219,trong hình có bao nhiêu cái cây,tám,600219,1
220,số lượng cái cây là bao nhiêu,bốn,600220,1
221,có bao nhiêu quyển sách,năm,600221,1
222,số lượng cái ghế là bao nhiêu,năm,600222,1
223,trong hình có bao nhiêu cái ghế,sáu,600223,1
224,số lượng xe ô tô là bao nhiêu,năm,600224,1
225,có bao nhiêu cái bàn,sáu,600225,1
226,có bao nhiêu con cừu,một,600226,1
227,trong hình có bao nhiêu cốc,một,600227,1
228,số lượng cái bàn là bao nhiêu,tám,600228,1
229,số lượng chai là bao nhiêu,hai,600229,1
230,có bao nhiêu điện thoại,năm,600230,1
231,số lượng cái bàn là bao nhiêu,bốn,600231,1
232,số lượng cái ghế là bao nhiêu,tám,600232,1
233,trong hình có bao nhiêu con cừu,bốn,600233,1
234,hình có mấy chai,năm,600234,1
235,số lượng cái ghế là bao nhiêu,hai,600235,1
236,có bao nhiêu máy tính xách tay,một,600236,1
237,hình có mấy cái cây,năm,600237,1
238,có bao nhiêu xe ô tô,hai,600238,1
239,có bao nhiêu quyển sách,ba,600239,1
240,có bao nhiêu con gà,hai,600240,1
241,số lượng điện thoại là bao nhiêu,sáu,600241,1
242,số lượng con chim là bao nhiêu,sáu,600242,1
243,số lượng cái bàn là bao nhiêu,bốn,600243,1
244,có bao nhiêu cái ghế,ba,600244,1
245,có bao nhiêu con chim trong hình,hai,600245,1
246,có bao nhiêu cái bàn trong hình,một,600246,1
247,hình có mấy tòa nhà,bảy,600247,1
248,có bao nhiêu con chó trong hình,bảy,600248,1
249,hình có mấy người,một,600249,1
250,có bao nhiêu con voi trong hình,một,600250,1
251,số lượng người là bao nhiêu,bảy,600251,1
252,trong hình có bao nhiêu con chim,tám,600252,1
253,số lượng cốc là bao nhiêu,bảy,600253,1
254,trong hình có bao nhiêu tòa nhà,tám,600254,1
255,hình có mấy xe ô tô,sáu,600255,1
256,có bao nhiêu con chó,một,600256,1
257,có bao nhiêu người trong hình,ba,600257,1
258,có bao nhiêu cốc,hai,600258,1
259,số lượng con mèo là bao nhiêu,hai,600259,1
260,hình có mấy người,năm,600260,1
261,trong hình có bao nhiêu cái cây,tám,600261,1
262,hình có mấy cái bàn,bảy,600262,1
263,trong hình có bao nhiêu con cừu,tám,600263,1
264,có bao nhiêu điện thoại,bảy,600264,1
265,số lượng cái cây là bao nhiêu,hai,600265,1
266,có bao nhiêu con gà trong hình,năm,600266,1
267,có bao nhiêu con chó trong hình,ba,600267,1
268,trong hình có bao nhiêu quyển sách,năm,600268,1
269,trong hình có bao nhiêu người,bảy,600269,1
270,có bao nhiêu người,năm,600270,1
271,có bao nhiêu cái ghế,hai,600271,1
272,trong hình có bao nhiêu quyển sách,một,600272,1
273,trong hình có bao nhiêu người,tám,600273,1
274,hình có mấy tòa nhà,một,600274,1
275,trong hình có bao nhiêu cái cây,bốn,600275,1
276,có bao nhiêu cái cây,sáu,600276,1
277,số lượng người là bao nhiêu,một,600277,1
278,hình có mấy con cừu,tám,600278,1
279,hình có mấy cái bàn,bảy,600279,1
280,có bao nhiêu con chim trong hình,sáu,600280,1
281,hình có mấy cái ghế,bốn,600281,1
282,có bao nhiêu cái ghế,bảy,600282,1
283,số lượng cái bàn là bao nhiêu,năm,600283,1
284,số lượng cái ghế là bao nhiêu,bốn,600284,1
285,hình có mấy người,bốn,600285,1
286,số lượng con ngựa là bao nhiêu,bảy,600286,1
287,trong hình có bao nhiêu con chim,bảy,600287,1
288,hình có mấy quyển sách,một,600288,1
289,có bao nhiêu người,tám,600289,1
290,có bao nhiêu tòa nhà trong hình,năm,600290,1
291,số lượng máy tính xách tay là bao nhiêu,bảy,600291,1
292,hình có mấy cái bàn,bảy,600292,1
293,trong hình có bao nhiêu cái bàn,bảy,600293,1
294,có bao nhiêu máy tính xách tay,bảy,600294,1
295,số lượng con chim là bao nhiêu,năm,600295,1
296,có bao nhiêu cái bàn,bảy,600296,1
297,hình có mấy cái ghế,tám,600297,1
298,trong hình có bao nhiêu con chim,bốn,600298,1
299,có bao nhiêu cái bàn,bảy,600299,1
300,có bao nhiêu con gà trong hình,năm,600300,1
301,trong hình có bao nhiêu cái bàn,hai,600301,1
302,số lượng con chim là bao nhiêu,hai,600302,1
303,hình có mấy cái ghế,bốn,600303,1
304,có bao nhiêu tòa nhà,tám,600304,1
305,có bao nhiêu cái ghế,bảy,600305,1
306,có bao nhiêu con ngựa trong hình,một,600306,1
307,có bao nhiêu cái bàn trong hình,hai,600307,1
308,số lượng con chó là bao nhiêu,năm,600308,1
309,có bao nhiêu chai trong hình,bảy,600309,1
310,có bao nhiêu quyển sách trong hình,một,600310,1
311,trong hình có bao nhiêu con chim,ba,600311,1
312,có bao nhiêu cái cây trong hình,một,600312,1
313,có bao nhiêu chai,năm,600313,1
314,số lượng quyển sách là bao nhiêu,bảy,600314,1
315,có bao nhiêu điện thoại trong hình,năm,600315,1
316,có bao nhiêu con mèo,một,600316,1
317,số lượng con voi là bao nhiêu,hai,600317,1
318,hình có mấy tòa nhà,sáu,600318,1
319,số lượng quyển sách là bao nhiêu,ba,600319,1
320,có bao nhiêu cái cây trong hình,sáu,600320,1
321,hình có mấy cốc,bảy,600321,1
322,có bao nhiêu tòa nhà,một,600322,1
323,có bao nhiêu cái bàn trong hình,hai,600323,1
324,có bao nhiêu máy tính xách tay trong hình,ba,600324,1
325,có bao nhiêu người,sáu,600325,1
326,số lượng con chim là bao nhiêu,ba,600326,1
327,trong hình có bao nhiêu điện thoại,năm,600327,1
328,hình có mấy cái ghế,bốn,600328,1
329,số lượng cốc là bao nhiêu,năm,600329,1
330,có bao nhiêu con chim trong hình,hai,600330,1
331,có bao nhiêu cái bàn,bốn,600331,1
332,hình có mấy con voi,sáu,600332,1
333,có bao nhiêu xe ô tô,năm,600333,1
334,có bao nhiêu con chim trong hình,tám,600334,1
335,số lượng con hươu cao cổ là bao nhiêu,bảy,600335,1
336,có bao nhiêu quyển sách,một,600336,1
337,trong hình có bao nhiêu chai,sáu,600337,1
338,trong hình có bao nhiêu xe ô tô,bảy,600338,1
339,có bao nhiêu người,tám,600339,1
340,có bao nhiêu cái cây trong hình,hai,600340,1
341,hình có mấy con chim,hai,600341,1
342,trong hình có bao nhiêu con ngựa,sáu,600342,1
343,số lượng con mèo là bao nhiêu,một,600343,1
344,hình có mấy con voi,tám,600344,1
345,hình có mấy xe ô tô,bảy,600345,1
346,hình có mấy máy tính xách tay,bốn,600346,1
347,hình có mấy quyển sách,một,600347,1
348,có bao nhiêu con chim,ba,600348,1
349,hình có mấy máy tính xách tay,bốn,600349,1
350,hình có mấy điện thoại,ba,600350,1
351,hình có mấy chai,bảy,600351,1
352,có bao nhiêu xe ô tô,sáu,600352,1
353,hình có mấy con ngựa,bốn,600353,1
354,hình có mấy cái bàn,một,600354,1
355,có bao nhiêu con ngựa vằn,năm,600355,1
356,số lượng máy tính xách tay là bao nhiêu,năm,600356,1
357,có bao nhiêu cốc trong hình,năm,600357,1
358,trong hình có bao nhiêu con chim,sáu,600358,1
359,trong hình có bao nhiêu máy tính xách tay,ba,600359,1
360,trong hình có bao nhiêu tòa nhà,ba,600360,1
361,trong hình có bao nhiêu xe ô tô,năm,600361,1
362,có bao nhiêu điện thoại trong hình,hai,600362,1
363,trong hình có bao nhiêu con chim,một,600363,1
364,có bao nhiêu con ngựa,tám,600364,1
365,trong hình có bao nhiêu máy tính xách tay,sáu,600365,1
366,có bao nhiêu máy tính xách tay,năm,600366,1
367,trong hình có bao nhiêu con chim,năm,600367,1
368,có bao nhiêu xe ô tô trong hình,bốn,600368,1
369,trong hình có bao nhiêu điện thoại,bảy,600369,1
370,có bao nhiêu điện thoại trong hình,hai,600370,1
371,số lượng xe ô tô là bao nhiêu,sáu,600371,1
372,có bao nhiêu điện thoại,bảy,600372,1
373,có bao nhiêu con voi trong hình,sáu,600373,1
374,có bao nhiêu con gà,một,600374,1
375,số lượng tòa nhà là bao nhiêu,bốn,600375,1
376,trong hình có bao nhiêu tòa nhà,ba,600376,1
377,có bao nhiêu điện thoại trong hình,tám,600377,1
378,hình có mấy cái bàn,sáu,600378,1
379,có bao nhiêu quyển sách trong hình,một,600379,1
380,hình có mấy người,một,600380,1
381,hình có mấy con chim,hai,600381,1
382,hình có mấy cái ghế,ba,600382,1
383,có bao nhiêu con mèo,ba,600383,1
384,có bao nhiêu máy tính xách tay trong hình,hai,600384,1
385,có bao nhiêu con chim trong hình,năm,600385,1
386,hình có mấy con ngựa vằn,hai,600386,1
387,hình có mấy cái bàn,năm,600387,1
388,trong hình có bao nhiêu cái bàn,bảy,600388,1
389,có bao nhiêu cái cây,tám,600389,1
390,số lượng con voi là bao nhiêu,ba,600390,1
391,trong hình có bao nhiêu cái ghế,hai,600391,1
392,hình có mấy con ngựa vằn,bảy,600392,1
393,trong hình có bao nhiêu người,năm,600393,1
394,trong hình có bao nhiêu cốc,ba,600394,1
395,có bao nhiêu con cừu,năm,600395,1
396,hình có mấy máy tính xách tay,một,600396,1
397,hình có mấy quyển sách,tám,600397,1
398,có bao nhiêu con voi trong hình,năm,600398,1
399,có bao nhiêu con ngựa,năm,600399,1
400,trong hình có bao nhiêu cái bàn,bảy,600400,1
401,có bao nhiêu cái ghế,sáu,600401,1
402,hình có mấy con ngựa,một,600402,1
403,có bao nhiêu quyển sách trong hình,sáu,600403,1
404,hình có mấy cái ghế,tám,600404,1
405,hình có mấy cái ghế,một,600405,1
406,có bao nhiêu con chim trong hình,bốn,600406,1
407,trong hình có bao nhiêu xe ô tô,hai,600407,1
408,số lượng cái bàn là bao nhiêu,sáu,600408,1
409,có bao nhiêu điện thoại,năm,600409,1
410,trong hình có bao nhiêu quyển sách,hai,600410,1
411,có bao nhiêu chai,một,600411,1
412,số lượng cái cây là bao nhiêu,một,600412,1
413,số lượng cốc là bao nhiêu,hai,600413,1
414,số lượng máy tính xách tay là bao nhiêu,hai,600414,1
415,trong hình có bao nhiêu con ngựa,ba,600415,1
416,có bao nhiêu người trong hình,bảy,600416,1
417,có bao nhiêu tòa nhà,tám,600417,1
418,có bao nhiêu con cừu,bốn,600418,1
419,trong hình có bao nhiêu con chim,sáu,600419,1
420,hình có mấy con gà,ba,600420,1
421,có bao nhiêu con ngựa trong hình,sáu,600421,1
422,số lượng máy tính xách tay là bao nhiêu,bảy,600422,1
423,có bao nhiêu con hươu cao cổ trong hình,năm,600423,1
424,hình có mấy con ngựa,ba,600424,1
425,có bao nhiêu con chó trong hình,bốn,600425,1
426,trong hình có bao nhiêu cái ghế,năm,600426,1
427,có bao nhiêu người trong hình,sáu,600427,1
428,có bao nhiêu máy tính xách tay trong hình,một,600428,1
429,trong hình có bao nhiêu cái bàn,ba,600429,1
430,có bao nhiêu cốc trong hình,bảy,600430,1
431,hình có mấy con hươu cao cổ,ba,600431,1
432,có bao nhiêu con gà trong hình,bảy,600432,1
433,trong hình có bao nhiêu máy tính xách tay,bảy,600433,1
434,trong hình có bao nhiêu chai,hai,600434,1
435,trong hình có bao nhiêu con ngựa,sáu,600435,1
436,có bao nhiêu cốc,tám,600436,1
437,trong hình có bao nhiêu chai,bốn,600437,1
438,có bao nhiêu tòa nhà trong hình,sáu,600438,1
439,số lượng chai là bao nhiêu,hai,600439,1
440,có bao nhiêu con voi trong hình,một,600440,1
441,có bao nhiêu máy tính xách tay trong hình,ba,600441,1
442,số lượng cái ghế là bao nhiêu,bảy,600442,1
443,có bao nhiêu quyển sách trong hình,bảy,600443,1
444,có bao nhiêu điện thoại,ba,600444,1
445,có bao nhiêu tòa nhà,bốn,600445,1
446,số lượng xe ô tô là bao nhiêu,bảy,600446,1
447,có bao nhiêu cái cây,tám,600447,1
448,trong hình có bao nhiêu con chim,sáu,600448,1
449,có bao nhiêu xe ô tô trong hình,sáu,600449,1
450,trong hình có bao nhiêu con bò,hai,600450,1
451,số lượng con hươu cao cổ là bao nhiêu,hai,600451,1
452,có bao nhiêu xe ô tô trong hình,năm,600452,1
453,có bao nhiêu chai,bảy,600453,1
454,trong hình có bao nhiêu điện thoại,ba,600454,1
455,có bao nhiêu quyển sách,một,600455,1
456,có bao nhiêu quyển sách trong hình,ba,600456,1
457,hình có mấy người,sáu,600457,1
458,số lượng quyển sách là bao nhiêu,hai,600458,1
459,trong hình có bao nhiêu con bò,năm,600459,1
460,trong hình có bao nhiêu cốc,hai,600460,1
461,số lượng người là bao nhiêu,ba,600461,1
462,hình có mấy cái bàn,năm,600462,1
463,có bao nhiêu quyển sách,bảy,600463,1
464,có bao nhiêu cái ghế trong hình,bốn,600464,1
465,trong hình có bao nhiêu người,tám,600465,1
466,có bao nhiêu cốc,tám,600466,1
467,có bao nhiêu tòa nhà trong hình,năm,600467,1
468,có bao nhiêu con voi trong hình,sáu,600468,1
469,hình có mấy cái ghế,ba,600469,1
470,hình có mấy điện thoại,tám,600470,1
471,hình có mấy máy tính xách tay,tám,600471,1
472,số lượng xe ô tô là bao nhiêu,sáu,600472,1
473,hình có mấy máy tính xách tay,năm,600473,1
474,có bao nhiêu điện thoại,tám,600474,1
475,hình có mấy con mèo,ba,600475,1
476,số lượng tòa nhà là bao nhiêu,bảy,600476,1
477,có bao nhiêu con gà,sáu,600477,1
478,hình có mấy con ngựa,bảy,600478,1
479,trong hình có bao nhiêu tòa nhà,năm,600479,1
480,số lượng con voi là bao nhiêu,ba,600480,1
481,hình có mấy người,năm,600481,1
482,có bao nhiêu tòa nhà trong hình,sáu,600482,1
483,trong hình có bao nhiêu con ngựa,năm,600483,1
484,có bao nhiêu tòa nhà trong hình,tám,600484,1
485,có bao nhiêu con voi trong hình,tám,600485,1
486,có bao nhiêu con gà trong hình,năm,600486,1
487,có bao nhiêu máy tính xách tay trong hình,bảy,600487,1
488,có bao nhiêu con gà,ba,600488,1
489,có bao nhiêu tòa nhà,một,600489,1
490,hình có mấy tòa nhà,một,600490,1
491,số lượng con cừu là bao nhiêu,năm,600491,1
492,số lượng xe ô tô là bao nhiêu,hai,600492,1
493,có bao nhiêu máy tính xách tay trong hình,tám,600493,1
494,trong hình có bao nhiêu cái bàn,tám,600494,1
495,có bao nhiêu con ngựa,ba,600495,1
496,hình có mấy quyển sách,ba,600496,1
497,có bao nhiêu cốc trong hình,bốn,600497,1
498,trong hình có bao nhiêu người,sáu,600498,1
499,trong hình có bao nhiêu con ngựa vằn,năm,600499,1
500,có bao nhiêu con ngựa vằn,bốn,600500,1
501,hình có mấy con mèo,bốn,600501,1
502,có bao nhiêu xe ô tô,sáu,600502,1
503,số lượng máy tính xách tay là bao nhiêu,một,600503,1
504,số lượng quyển sách là bao nhiêu,ba,600504,1
505,có bao nhiêu con voi trong hình,tám,600505,1
506,trong hình có bao nhiêu máy tính xách tay,tám,600506,1
507,có bao nhiêu con cừu,năm,600507,1
508,trong hình có bao nhiêu con hươu cao cổ,sáu,600508,1
509,có bao nhiêu điện thoại,năm,600509,1
510,trong hình có bao nhiêu con gà,năm,600510,1
511,trong hình có bao nhiêu điện thoại,một,600511,1
512,trong hình có bao nhiêu con ngựa vằn,hai,600512,1
513,hình có mấy con ngựa vằn,ba,600513,1
514,hình có mấy tòa nhà,ba,600514,1
515,hình có mấy quyển sách,ba,600515,1
516,số lượng cái cây là bao nhiêu,ba,600516,1
517,có bao nhiêu máy tính xách tay,hai,600517,1
518,hình có mấy cốc,ba,600518,1
519,hình có mấy cái bàn,ba,600519,1
520,hình có mấy người,ba,600520,1
521,trong hình có bao nhiêu cái bàn,bảy,600521,1
522,có bao nhiêu cái cây trong hình,sáu,600522,1
523,trong hình có bao nhiêu quyển sách,ba,600523,1
524,trong hình có bao nhiêu chai,bảy,600524,1
525,trong hình có bao nhiêu con chó,bảy,600525,1
526,hình có mấy quyển sách,bảy,600526,1
527,trong hình có bao nhiêu cốc,bốn,600527,1
528,có bao nhiêu con mèo trong hình,sáu,600528,1
529,có bao nhiêu máy tính xách tay trong hình,hai,600529,1
530,có bao nhiêu tòa nhà trong hình,tám,600530,1
531,có bao nhiêu cái ghế trong hình,một,600531,1
532,hình có mấy cái ghế,sáu,600532,1
533,có bao nhiêu con ngựa vằn trong hình,sáu,600533,1
534,có bao nhiêu quyển sách,bốn,600534,1
535,số lượng chai là bao nhiêu,ba,600535,1
536,trong hình có bao nhiêu quyển sách,năm,600536,1
537,số lượng con chim là bao nhiêu,sáu,600537,1
538,trong hình có bao nhiêu xe ô tô,hai,600538,1
539,có bao nhiêu con chim trong hình,bốn,600539,1
540,trong hình có bao nhiêu tòa nhà,một,600540,1
541,có bao nhiêu con bò,hai,600541,1
542,có bao nhiêu con chim trong hình,bảy,600542,1
543,hình có mấy xe ô tô,năm,600543,1
